id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Electric Dream,Synth Masters,electronic,energetic,0.88,128,0.76,0.89,0.08
12,Moonlight Sonata Remix,Classical Touch,classical,peaceful,0.32,70,0.71,0.38,0.94
13,Soulful Nights,R&B Vibes,r&b,romantic,0.56,92,0.69,0.71,0.44
14,Island Breeze,Reggae Kings,reggae,chill,0.52,84,0.73,0.78,0.67
15,Home Roads,Country Heart,country,relaxed,0.48,98,0.68,0.62,0.79
16,Metal Storm,Thunder,metal,intense,0.94,164,0.32,0.58,0.12
17,Mountain Folk,Acoustic Souls,folk,peaceful,0.35,76,0.62,0.51,0.88
18,Beats Flow,Hip Hop Hub,hip-hop,energetic,0.71,104,0.74,0.85,0.31
19,Punk Rebellion,Loud Echo,punk,intense,0.92,156,0.41,0.74,0.18
20,Midnight Blues,Blues Legends,blues,melancholic,0.43,88,0.44,0.62,0.81
